lambda_air[angstrom], lambda_vac[nm], transition
7773.216, 777.5355114171405, 9-4_Q1f(3.5)
7773.525, 777.5664197591508, 9-4_Q1e(3.5)
7780.388, 778.2529050399181, 9-4_P2e(1.5)
7780.475, 778.2616073886829, 9-4_P2f(1.5)
7790.654, 779.279782197888, 9-4_Q1f(4.5)
7791.218, 779.3361974247841, 9-4_Q1e(4.5)
7794.074, 779.621874531538, 9-4_P1e(2.5)
7794.149, 779.6293765564079, 9-4_P1f(2.5)
7808.433, 781.0581622068697, 9-4_P2e(2.5)
7808.501, 781.0649640428204, 9-4_P2f(2.5)
7821.426, 782.357813014349, 9-4_P1e(3.5)
7821.580, 782.3732171723781, 9-4_P1f(3.5)
7841.254, 784.34114838766, 9-4_P2e(3.5)
7841.278, 784.3435490356974, 9-4_P2f(3.5)
7849.120, 785.1279607840789, 5-1_R1f(5.5)
7849.173, 785.1332622151906, 5-1_R1e(5.5)
7849.689, 785.1848761482878, 5-1_R1f(4.5)
7849.761, 785.1920780924424, 5-1_R1e(4.5)
7850.479, 785.2638974800032, 5-1_R2e(4.5)
7850.573, 785.2733000182101, 5-1_R2f(4.5)
7852.268, 785.4428457870465, 5-1_R2e(3.5)
7852.349, 785.4509479742349, 5-1_R2f(3.5)
7853.232, 785.5392718173166, 9-4_P1e(4.5)
7853.488, 785.5648787299305, 9-4_P1f(4.5)
7853.565, 785.5725808091157, 5-1_R1f(3.5)
7853.644, 785.5804829423065, 5-1_R1e(3.5)
7857.967, 786.0128996743969, 5-1_R2e(2.5)
7858.021, 786.0183011325433, 5-1_R2f(2.5)
7860.623, 786.2785713938479, 5-1_R1f(2.5)
7860.693, 786.2855732840508, 5-1_R1e(2.5)
7867.723, 786.9887631161432, 5-1_R2e(1.5)
7867.737, 786.9901634941905, 5-1_R2f(1.5)
7870.706, 787.2871436675409, 5-1_R1f(1.5)
7870.755, 787.2920449907167, 5-1_R1e(1.5)
7878.762, 788.0929612106605, 9-4_P2f(4.5)
7878.803, 788.0970623178303, 9-4_P2e(4.5)
7881.666, 788.3834396309643, 5-1_R2f(0.5)
7881.699, 788.3867405221073, 5-1_R2e(0.5)
7889.664, 789.1834556138169, 9-4_P1e(5.5)
7889.664, 789.1834556138169, 9-4_P1e(5.5)
7890.038, 789.2208657136468, 9-4_P1f(5.5)
7890.038, 789.2208657136468, 9-4_P1f(5.5)
7912.167, 791.4343633217562, 5-1_Q2f(0.5)
7912.336, 791.4512678858387, 5-1_Q2e(0.5)
7913.681, 791.5858042095228, 5-1_Q1f(1.5)
7913.735, 791.5912056678741, 5-1_Q1e(1.5)
7918.207, 792.0385264416392, 5-1_Q2f(1.5)
7918.491, 792.0669341115747, 5-1_Q2e(1.5)
7920.982, 792.316101385784, 9-4_P2f(5.5)
7921.020, 792.3199024120498, 5-1_Q1f(2.5)
7921.106, 792.3285047346517, 9-4_P2e(5.5)
7921.219, 792.3398077864432, 5-1_Q1e(2.5)
7930.868, 793.3049683801798, 9-4_P1e(6.5)
7931.379, 793.3560821810992, 9-4_P1f(6.5)
7931.542, 793.3723865833533, 5-1_Q1f(3.5)
7931.994, 793.41759879084, 5-1_Q1e(3.5)
7945.385, 794.7570604573078, 5-1_Q1f(4.5)
7946.198, 794.8383824153377, 5-1_Q1e(4.5)
7949.163, 795.1349624963475, 5-1_P2e(1.5)
7949.245, 795.1431647110754, 5-1_P2f(1.5)
7964.603, 796.6793795211947, 5-1_P1e(2.5)
7964.698, 796.6888820871347, 5-1_P1f(2.5)
7968.024, 797.0215719224168, 9-4_P2f(6.5)
7968.249, 797.0440779996945, 9-4_P2e(6.5)
7976.986, 797.9180139897165, 9-4_P1e(7.5)
7977.650, 797.9844319248388, 9-4_P1f(7.5)
7979.749, 798.1943886205436, 5-1_P2e(2.5)
7979.788, 798.1982896739682, 5-1_P2f(2.5)
7993.241, 799.5439530573632, 5-1_P1e(3.5)
7993.424, 799.5622580005177, 5-1_P1f(3.5)
8014.046, 801.6250150512304, 5-1_P2f(3.5)
8014.072, 801.6276157535715, 5-1_P2e(3.5)
8020.024, 802.2229765367936, 9-4_P2f(7.5)
8020.361, 802.2566856403474, 9-4_P2e(7.5)
8025.668, 802.787529002025, 5-1_P1e(4.5)
8025.952, 802.8159366739658, 5-1_P1f(4.5)
8028.169, 803.0376965639039, 9-4_P1e(8.5)
8029.001, 803.1209190395958, 9-4_P1f(8.5)
8051.966, 805.4180394348188, 5-1_P2f(4.5)
8052.074, 805.4288423524981, 5-1_P2e(4.5)
8061.979, 806.4196099446855, 5-1_P1e(5.5)
8062.377, 806.4594206971316, 5-1_P1f(5.5)
8077.147, 807.9368197334395, 9-4_P2f(8.5)
8077.613, 807.983432323435, 9-4_P2e(8.5)
8084.582, 808.6805206076344, 9-4_P1e(9.5)
8085.600, 808.7823481115943, 9-4_P1f(9.5)
8093.579, 809.580463687615, 5-1_P2f(5.5)
8093.780, 809.6005691182693, 5-1_P2e(5.5)
8102.239, 810.446697667353, 5-1_P1e(6.5)
8103.761, 810.5989387899111, 5-1_P1f(6.5)
8138.962, 814.1199899175389, 5-1_P2f(6.5)
8139.264, 814.150198077881, 5-1_P2e(6.5)
8146.508, 814.874793819689, 5-1_P1e(7.5)
8147.162, 814.9402114917335, 5-1_P1f(7.5)
8188.216, 819.0467208835913, 5-1_P2f(7.5)
8188.630, 819.0881320715292, 5-1_P2e(7.5)
8194.849, 819.7102001350604, 5-1_P1e(8.5)
8195.645, 819.7898216464957, 5-1_P1f(8.5)
8241.457, 824.3722597529396, 5-1_P2f(8.5)
8241.990, 824.4255741584316, 5-1_P2e(8.5)
8247.340, 824.9607187548224, 5-1_P1e(9.5)
8248.288, 825.055544376939, 5-1_P1f(9.5)
8278.267, 828.0542546630628, 6-2_R1f(4.5)
8278.330, 828.0605563659111, 6-2_R1e(4.5)
8278.570, 828.084562852954, 6-2_R1f(5.5)
8278.607, 828.0882638530401, 6-2_R1e(5.5)
8279.940, 828.2215998832214, 6-2_R2e(4.5)
8280.037, 828.2313025050767, 6-2_R2f(4.5)
8280.988, 828.3264282100984, 6-2_R2e(3.5)
8281.073, 828.3349305076056, 6-2_R2f(3.5)
8281.645, 828.3921459684883, 6-2_R1f(3.5)
8281.719, 828.3995479686737, 6-2_R1e(3.5)
8282.662, 828.493873457552, 6-2_R1e(6.5)
8282.665, 828.4941735386408, 6-2_R1f(6.5)
8283.122, 828.5398858911697, 6-2_R2e(5.5)
8283.217, 828.5493884589838, 6-2_R2f(5.5)
8286.369, 828.8646736566446, 6-2_R2e(2.5)
8286.427, 828.8704752243735, 6-2_R2f(2.5)
8288.568, 829.0846330953295, 6-2_R1f(2.5)
8288.637, 829.0915349603953, 6-2_R1e(2.5)
8290.479, 829.2757847496397, 6-2_R2e(6.5)
8290.558, 829.2836868850138, 6-2_R2f(6.5)
8290.585, 829.2863876148249, 6-2_R1e(7.5)
8290.644, 829.292289209598, 6-2_R1f(7.5)
8296.232, 829.8512402544493, 6-2_R2e(1.5)
8296.248, 829.8528406869353, 6-2_R2f(1.5)
8298.809, 830.1090099119273, 5-1_P2f(9.5)
8298.872, 830.1153116148507, 6-2_R1f(1.5)
8298.921, 830.1202129393469, 6-2_R1e(1.5)
8299.471, 830.1752278061493, 5-1_P2e(9.5)
8301.995, 830.4276960314827, 6-2_R2e(7.5)
8302.045, 830.4326973830183, 6-2_R2f(7.5)
8302.460, 830.4742086007698, 6-2_R1e(8.5)
8302.587, 830.4869120336742, 6-2_R1f(8.5)
8304.071, 830.6353521473653, 5-1_P1e(10.5)
8305.184, 830.7466822327169, 5-1_P1f(10.5)
8310.703, 831.2987314171114, 6-2_R2f(0.5)
8310.736, 831.3020323091417, 6-2_R2e(0.5)
8317.685, 831.997120150453, 6-2_R2e(8.5)
8317.693, 831.9979203667059, 6-2_R2f(8.5)
8318.365, 832.0651385319652, 6-2_R1e(9.5)
8318.575, 832.086144208614, 6-2_R1f(9.5)
8337.544, 833.9835569826135, 6-2_R2f(9.5)
8337.589, 833.9880581990873, 6-2_R2e(9.5)
8338.383, 834.0674796631127, 6-2_R1e(10.5)
8338.688, 834.0979879081195, 6-2_R1f(10.5)
8342.944, 834.5237029603073, 6-2_Q2f(0.5)
8343.122, 834.5415077721927, 6-2_Q2e(0.5)
8344.575, 834.6868470513039, 6-2_Q1f(1.5)
8344.630, 834.6923485381272, 6-2_Q1e(1.5)
8349.773, 835.2067875703993, 6-2_Q2f(1.5)
8349.923, 835.2217916254172, 6-2_Q2e(1.5)
8352.764, 835.5059684276961, 6-2_Q1f(2.5)
8352.967, 835.5262739155218, 6-2_Q1e(2.5)
8360.404, 836.2701749661877, 5-1_P2f(10.5)
8361.206, 836.3503966475142, 5-1_P2e(10.5)
8364.490, 836.6788854277881, 6-2_Q1f(3.5)
8364.952, 836.7250979176317, 6-2_Q1e(3.5)
8365.150, 836.7449032704259, 5-1_P1e(11.5)
8366.437, 836.8736380636398, 5-1_P1f(11.5)
8379.903, 838.2206021138496, 6-2_Q1f(4.5)
8380.737, 838.3040246611823, 6-2_Q1e(4.5)
8382.347, 838.4650681879191, 6-2_P2e(1.5)
8382.436, 838.4739705940597, 6-2_P2f(1.5)
8399.120, 840.1428216586273, 6-2_P1e(2.5)
8399.219, 840.1527243352134, 6-2_P1f(2.5)
8415.208, 841.7520566245695, 6-2_P2e(2.5)
8415.254, 841.7566578682768, 6-2_P2f(2.5)
8426.386, 842.8701588489065, 5-1_P2f(11.5)
8427.338, 842.9653845888538, 5-1_P2e(11.5)
8430.079, 843.2395586996324, 6-2_P1e(3.5)
8430.270, 843.2586638638795, 6-2_P1f(3.5)
8430.698, 843.3014754361261, 5-1_P1e(12.5)
8432.171, 843.4488152631176, 5-1_P1f(12.5)
8452.239, 845.4561578738015, 6-2_P2f(3.5)
8452.261, 845.4583584686632, 6-2_P2e(3.5)
8465.208, 846.7534085491528, 6-2_P1e(4.5)
8465.509, 846.7835166881526, 6-2_P1f(4.5)
8493.336, 849.5669691477259, 6-2_P2f(4.5)
8493.443, 849.577672041154, 6-2_P2e(4.5)
8496.908, 849.9242657398767, 5-1_P2f(12.5)
8498.020, 850.0354958101375, 5-1_P2e(12.5)
8500.853, 850.318872419294, 5-1_P1e(13.5)
8502.523, 850.4859175791469, 5-1_P1f(13.5)
8504.628, 850.6964745024078, 6-2_P1e(5.5)
8505.054, 850.7390860222986, 6-2_P1f(5.5)
8538.574, 854.0919925003799, 6-2_P2f(5.5)
8538.780, 854.1125980714023, 6-2_P2e(5.5)
8548.428, 855.0776589924741, 6-2_P1e(6.5)
8548.989, 855.1337741643417, 6-2_P1f(6.5)
8572.138, 857.4493002278952, 5-1_P2f(13.5)
8573.491, 857.5846368205811, 5-1_P2e(13.5)
8575.771, 857.8126984847471, 5-1_P1e(14.5)
8577.647, 858.0003492226589, 5-1_P1f(14.5)
8588.037, 859.0396302317905, 6-2_P2f(6.5)
8588.353, 859.0712387784505, 6-2_P2e(6.5)
8596.686, 859.9047641579135, 6-2_P1e(7.5)
8597.394, 859.9755833070847, 6-2_P1f(7.5)
8641.841, 864.42148551017, 6-2_P2f(7.5)
8642.277, 864.4650973036053, 6-2_P2e(7.5)
8652.257, 865.4633672568979, 5-1_P2f(14.5)
8653.716, 865.6093067224374, 5-1_P2e(14.5)
8655.624, 865.8001583334635, 5-1_P1e(15.5)
8657.714, 866.0092148677655, 5-1_P1f(15.5)
8700.118, 870.250761939488, 6-2_P2f(8.5)
8700.685, 870.3074772780304, 6-2_P2e(8.5)
8706.932, 870.9323462735799, 6-2_P1e(9.5)
8707.972, 871.0363744081321, 6-2_P1f(9.5)
8737.466, 873.9865723155342, 5-1_P2f(15.5)
8739.107, 874.1507167111145, 5-1_P2e(15.5)
8740.603, 874.300357183983, 5-1_P1e(16.5)
8742.913, 874.5314196790696, 5-1_P1f(16.5)
8758.690, 876.1095465193898, 7-3_R1f(4.5)
8758.736, 876.1141477639187, 7-3_R1e(4.5)
8760.255, 876.2660888604919, 7-3_R1f(5.5)
8760.265, 876.2670891310426, 7-3_R1e(5.5)
8761.282, 876.36881664606, 7-3_R1f(3.5)
8761.346, 876.3752183775869, 7-3_R1e(3.5)
8761.552, 876.3958239509403, 7-3_R2e(3.5)
8761.646, 876.4052264941217, 7-3_R2f(3.5)
8763.017, 876.5423635867419, 6-2_P2f(9.5)
8763.725, 876.6131827418291, 6-2_P2e(9.5)
8766.062, 876.8469459700227, 7-3_R1e(6.5)
8766.105, 876.8512471334022, 7-3_R1f(6.5)
8766.367, 876.8774542219035, 7-3_R2e(2.5)
8766.434, 876.884156034612, 7-3_R2f(2.5)
8767.880, 877.028795156709, 7-3_R1f(2.5)
8767.944, 877.0351968882565, 7-3_R1e(2.5)
8769.136, 877.1544291383642, 6-2_P1e(10.5)
8770.362, 877.2770623084294, 6-2_P1f(10.5)
8776.197, 877.8607201783793, 7-3_R2e(1.5)
8776.220, 877.8630208006635, 7-3_R2f(1.5)
8776.238, 877.8648212876685, 7-3_R1e(7.5)
8776.349, 877.8759242908665, 7-3_R1f(7.5)
8778.309, 878.0719773204037, 7-3_R1f(1.5)
8778.357, 878.0767786190885, 7-3_R1e(1.5)
8790.896, 879.331017877279, 7-3_R1e(8.5)
8791.091, 879.3505231533057, 7-3_R1f(8.5)
8791.170, 879.3584252907734, 7-3_R2f(0.5)
8791.201, 879.3615261295266, 7-3_R2e(0.5)
8810.139, 881.2558385352488, 7-3_R1e(9.5)
8810.433, 881.2852464901467, 7-3_R1f(9.5)
8825.355, 882.7778502472289, 7-3_Q2f(0.5)
8825.540, 882.7963552529961, 7-3_Q2e(0.5)
8827.068, 882.9491965979886, 7-3_Q1f(1.5)
8827.124, 882.9547981132523, 7-3_Q1e(1.5)
8830.698, 883.3122948198502, 6-2_P2f(10.5)
8830.922, 883.3347008809443, 5-1_P1e(17.5)
8831.559, 883.3984181171935, 6-2_P2e(10.5)
8832.836, 883.526152670926, 7-3_Q2f(1.5)
8833.152, 883.557761221431, 7-3_Q2e(1.5)
8833.454, 883.5879693931204, 5-1_P1f(17.5)
8836.232, 883.8658445620434, 6-2_P1e(11.5)
8836.334, 883.8760473220324, 7-3_Q1f(2.5)
8836.541, 883.896752923188, 7-3_Q1e(2.5)
8837.659, 884.008583174876, 6-2_P1f(11.5)
8845.251, 884.7679886065109, 7-3_Q2f(2.5)
8845.603, 884.8031981313314, 7-3_Q2e(2.5)
8849.582, 885.2012058000954, 7-3_Q1f(3.5)
8850.055, 885.2485185991715, 7-3_Q1e(3.5)
8862.480, 886.4913548154684, 7-3_Q2f(3.5)
8862.754, 886.5187622298977, 7-3_Q2e(3.5)
8866.983, 886.9417766669203, 7-3_Q1f(4.5)
8867.533, 886.9967915500189, 7-3_P2e(1.5)
8867.633, 887.0067942560382, 7-3_P2f(1.5)
8867.841, 887.0275998845602, 7-3_Q1e(4.5)
8885.798, 888.8237858122452, 7-3_P1e(2.5)
8885.902, 888.8341886265944, 7-3_P1f(2.5)
8903.085, 890.5529536235288, 7-3_P2e(2.5)
8903.144, 890.5588552201782, 7-3_P2f(2.5)
8903.336, 890.5780604160549, 6-2_P2f(11.5)
8904.363, 890.680788208613, 6-2_P2e(11.5)
8908.375, 891.0820967813725, 6-2_P1e(12.5)
8910.018, 891.2464412444597, 6-2_P1f(12.5)
8919.533, 892.1981987431269, 7-3_P1e(3.5)
8919.736, 892.2185042368382, 7-3_P1f(3.5)
8926.817, 892.9267958684179, 5-1_P1e(18.5)
8929.566, 893.2017702646357, 5-1_P1f(18.5)
8943.389, 894.5844443618953, 7-3_P2f(3.5)
8943.401, 894.58564468666, 7-3_P2e(3.5)
8949.487, 895.1944093972369, 6-2_P1e(8.5)
8950.355, 895.2812328887945, 6-2_P1f(8.5)
8957.922, 896.0381376835867, 7-3_P1e(4.5)
8958.246, 896.0705464524451, 7-3_P1f(4.5)
8981.124, 898.358965643339, 6-2_P2f(12.5)
8982.327, 898.4792982030749, 6-2_P2e(12.5)
8985.739, 898.8205905507446, 6-2_P1e(13.5)
8987.611, 899.0078412176844, 6-2_P1f(13.5)
8988.314, 899.0781602448933, 7-3_P2f(4.5)
8988.417, 899.0884630326651, 7-3_P2e(4.5)
9001.115, 900.3586067172002, 7-3_P1e(5.5)
9001.577, 900.4048192218457, 7-3_P1f(5.5)
9037.952, 904.0433037895792, 7-3_P2f(5.5)
9038.162, 904.0643094738525, 7-3_P2e(5.5)
9049.232, 905.1716091190079, 7-3_P1e(6.5)
9049.845, 905.2329257119826, 7-3_P1f(6.5)
9092.398, 909.4893775970486, 7-3_P2f(6.5)
9092.728, 909.5223865302661, 7-3_P2e(6.5)
9102.380, 910.4878478154382, 7-3_P1e(7.5)
9103.158, 910.5656688765198, 7-3_P1f(7.5)
9151.785, 915.4296852999618, 7-3_P2f(7.5)
9152.247, 915.4758978076471, 7-3_P2e(7.5)
9161.275, 916.378942223722, 7-3_P1f(8.5)
9216.275, 921.8804313193023, 7-3_P1e(8.5)
9216.275, 921.8804313193023, 7-3_P2f(8.5)
9216.881, 921.9410477271339, 7-3_P2e(8.5)
9224.246, 922.677747140368, 7-3_P1e(9.5)
9225.398, 922.7929783318883, 7-3_P1f(9.5)
9305.982, 930.8535603575275, 8-4_R1f(4.5)
9306.009, 930.8562610886684, 8-4_R1e(4.5)
9307.345, 930.9898972666451, 8-4_R1f(3.5)
9307.398, 930.9951987018508, 8-4_R1e(3.5)
9308.998, 931.1552420288674, 8-4_R2e(3.5)
9309.110, 931.1664450617626, 8-4_R2f(3.5)
9310.701, 931.3255881451742, 8-4_R2e(4.5)
9310.822, 931.3376914217923, 8-4_R2f(4.5)
9312.861, 931.5416466369591, 8-4_R2e(2.5)
9312.944, 931.5499488845637, 8-4_R2f(2.5)
9313.316, 931.587158958169, 8-4_R1f(2.5)
9313.375, 931.593060555865, 8-4_R1e(2.5)
9317.663, 932.0219766735352, 8-4_R1e(6.5)
9317.753, 932.0309791107142, 8-4_R1f(6.5)
9317.878, 932.0434824956858, 8-4_R2e(5.5)
9317.988, 932.0544854744613, 8-4_R2f(5.5)
9322.431, 932.4989057903205, 8-4_R2e(1.5)
9322.467, 932.5025067651989, 8-4_R2f(1.5)
9323.706, 932.6264403173001, 8-4_R1f(1.5)
9323.752, 932.6310415629805, 8-4_R1e(1.5)
9330.493, 933.30532411025, 8-4_R2e(6.5)
9330.574, 933.313426303753, 8-4_R2f(6.5)
9330.999, 933.3559378128776, 8-4_R1e(7.5)
9331.178, 933.3738426602525, 8-4_R1f(7.5)
9337.842, 934.0404231243227, 8-4_R2f(0.5)
9337.866, 934.0428237742564, 8-4_R2e(0.5)
9374.223, 937.679508369098, 8-4_Q2f(0.5)
9374.414, 937.6986135417649, 8-4_Q2e(0.5)
9375.933, 937.850554679412, 8-4_Q1f(1.5)
9375.989, 937.8561561960088, 8-4_Q1e(1.5)
9382.747, 938.5321392176787, 8-4_Q2f(1.5)
9383.075, 938.5649481006941, 8-4_Q2e(1.5)
9386.603, 938.9178436475406, 8-4_Q1f(2.5)
9386.813, 938.9388493348685, 8-4_Q1e(2.5)
9401.322, 940.3901422792413, 8-4_Q1e(3.5)
9401.841, 940.4420563353684, 8-4_Q1f(3.5)
9419.672, 942.2256392604479, 8-4_P2e(1.5)
9419.786, 942.2370423480018, 8-4_P2f(1.5)
9439.596, 944.2185788858222, 8-4_P1e(2.5)
9439.704, 944.2293818109564, 8-4_P1f(2.5)
9458.490, 946.1084906286519, 8-4_P2f(2.5)
9458.566, 946.1160926871353, 8-4_P2e(2.5)
9476.748, 947.9347851584839, 8-4_P1e(3.5)
9476.912, 947.9511896005888, 8-4_P1f(3.5)
9502.812, 950.5418911409405, 8-4_P2f(3.5)
9502.818, 950.5424913034625, 8-4_P2e(3.5)
9519.182, 952.1793345600523, 8-4_P1e(4.5)
9519.527, 952.2138439052796, 8-4_P1f(4.5)
9552.490, 955.5110368149441, 8-4_P2f(4.5)
9552.527, 955.5147378172318, 8-4_P2e(4.5)
9567.090, 956.971432316205, 8-4_P1e(5.5)
9567.588, 957.0212458067299, 8-4_P1f(5.5)
9607.625, 961.0260304152758, 8-4_P2f(5.5)
9607.828, 961.0463359147274, 8-4_P2e(5.5)
9620.630, 962.3268827353946, 8-4_P1e(6.5)
9621.300, 962.3939008866175, 8-4_P1f(6.5)
9668.337, 967.0988752243757, 8-4_P2f(6.5)
9668.670, 967.1321842463763, 8-4_P2e(6.5)
9674.165, 967.6818331235071, 3-0_R2e(3.5)
9674.304, 967.6957368894758, 3-0_R2f(3.5)
9679.953, 968.2607899401139, 8-4_P1e(7.5)
9679.953, 968.2607899401139, 8-4_P1e(7.5)
9680.810, 968.3465131592604, 8-4_P1f(7.5)
9682.152, 968.4807495188172, 3-0_R1f(3.5)
9682.338, 968.4993545582244, 3-0_R1e(3.5)
9690.464, 969.3121747219137, 3-0_R2e(2.5)
9690.546, 969.3203769436119, 3-0_R2f(2.5)
9699.263, 970.1923131223379, 3-0_R1e(2.5)
9699.263, 970.1923131223379, 3-0_R1f(2.5)
9711.702, 971.4365501497412, 3-0_R2e(1.5)
9711.711, 971.4374503935928, 3-0_R2f(1.5)
9719.782, 972.2447690755312, 3-0_R1f(1.5)
9719.880, 972.2545717308334, 3-0_R1e(1.5)
9734.798, 973.7467759367993, 8-4_P2f(7.5)
9735.269, 973.7938886987586, 8-4_P2e(7.5)
9738.056, 974.0726642139517, 3-0_R2f(0.5)
9738.124, 974.07946605645, 3-0_R2e(0.5)
9745.215, 974.7887581919729, 8-4_P1e(8.5)
9746.280, 974.8952870490325, 8-4_P1f(8.5)
9789.275, 979.1959520672513, 3-0_Q2f(0.5)
9789.557, 979.2241597087035, 3-0_Q2e(0.5)
9791.071, 979.3756007341345, 3-0_Q1f(1.5)
9791.166, 979.3851033083881, 3-0_Q1e(1.5)
9799.497, 980.2184290580893, 3-0_Q1f(2.5)
9799.843, 980.2530384338938, 3-0_Q1e(2.5)
9811.596, 981.4286569156126, 3-0_Q1f(3.5)
9812.373, 981.5063779708545, 3-0_Q1e(3.5)
9816.597, 981.9288924336893, 8-4_P1e(9.5)
9817.885, 982.0577273363039, 8-4_P1f(9.5)
9848.425, 985.1125549350498, 3-0_P2e(2.5)
9848.545, 985.1245581869736, 3-0_P2f(2.5)
9872.060, 987.476695437959, 3-0_P1e(2.5)
9872.214, 987.4920996113846, 3-0_P1f(2.5)
9894.724, 989.7437096446325, 3-0_P2f(2.5)
9894.766, 989.747910782871, 3-0_P2e(2.5)
9914.531, 991.7249464390983, 3-0_P1e(3.5)
9914.814, 991.7532541088465, 3-0_P1f(3.5)
9941.627, 994.4352807956345, 9-5_R1f(3.5)
9941.660, 994.4385816900159, 9-5_R1e(3.5)
9942.189, 994.4914960272299, 9-5_R1e(4.5)
9942.197, 994.4922962440501, 9-5_R1f(4.5)
9945.230, 994.7956784460623, 3-0_P2f(3.5)
9945.296, 994.8022802348335, 3-0_P2e(3.5)
9946.485, 994.9212124598419, 9-5_R1f(2.5)
9946.534, 994.9261137878708, 9-5_R1e(2.5)
9947.691, 995.0418451456422, 9-5_R2e(2.5)
9947.802, 995.0529481540391, 9-5_R2f(2.5)
9948.327, 995.105462382949, 9-5_R1e(5.5)
9948.402, 995.1129644156512, 9-5_R1f(5.5)
9956.556, 995.9285854121305, 9-5_R1f(1.5)
9956.598, 995.9327865504549, 9-5_R1e(1.5)
9956.625, 995.935487282235, 9-5_R2e(1.5)
9956.684, 995.94138888131, 9-5_R2f(1.5)
9961.716, 996.4447252638599, 3-0_P1e(4.5)
9962.146, 996.48773691821, 3-0_P1f(4.5)
9972.345, 997.5079133449012, 9-5_R2f(0.5)
9972.353, 997.508713561729, 9-5_R2e(0.5)
9999.901, 1000.264260220711, 3-0_P2f(4.5)
10000.090, 1000.2831653434379, 3-0_P2e(4.5)
10011.245, 1001.3989676947944, 9-5_Q2f(0.5)
10011.439, 1001.418372953114, 9-5_Q2e(0.5)
10012.782, 1001.5527093548158, 9-5_Q1f(1.5)
10012.838, 1001.5583108726839, 9-5_Q1e(1.5)
10013.693, 1001.6438340472911, 3-0_P1e(5.5)
10014.280, 1001.7025499578244, 3-0_P1f(5.5)
10025.346, 1002.8094499019096, 9-5_Q1f(2.5)
10025.557, 1002.8305556211056, 9-5_Q1e(2.5)
10043.270, 1004.6023357404985, 9-5_Q1f(3.5)
10043.756, 1004.6509489139032, 9-5_Q1e(3.5)
10060.649, 1006.3407068163757, 9-5_P2e(1.5)
10060.780, 1006.3538103673034, 9-5_P2f(1.5)
10082.411, 1008.5174967115184, 9-5_P1e(2.5)
10082.524, 1008.52879977461, 9-5_P1f(2.5)
10103.554, 1010.6323698419164, 9-5_P2e(2.5)
10103.655, 1010.6424725797912, 9-5_P2f(2.5)
10123.894, 1012.6669212183192, 9-5_P1e(3.5)
10124.123, 1012.6898274261209, 9-5_P1f(3.5)
10152.956, 1015.5739090528522, 9-5_P2f(3.5)
10152.990, 1015.5773099745651, 9-5_P2e(3.5)
10171.512, 1017.4300120964667, 9-5_P1f(4.5)
10171.512, 1017.4300120964667, 9-5_P1f(4.5)
10171.888, 1017.4676222897427, 9-5_P1f(4.5)
10180.993, 1018.3783691255745, 4-1_R2e(2.5)
10181.078, 1018.3868714299298, 4-1_R2f(2.5)
10189.632, 1019.2425033305242, 4-1_R1f(2.5)
10189.782, 1019.2575073970731, 4-1_R1e(2.5)
10203.043, 1020.5839669098123, 4-1_R2e(1.5)
10203.053, 1020.5849671809195, 4-1_R2f(1.5)
10208.747, 1021.1545215499178, 9-5_P2f(4.5)
10208.810, 1021.160823257905, 9-5_P2e(4.5)
10211.034, 1021.3832835526352, 4-1_R1f(1.5)
10211.102, 1021.3900853961819, 4-1_R1e(1.5)
10225.509, 1022.8311759871444, 9-5_P1e(5.5)
10226.059, 1022.8861908984246, 9-5_P1f(5.5)
10230.624, 1023.3428146624042, 4-1_R2f(0.5)
10230.695, 1023.3499165873254, 4-1_R2e(0.5)
10270.990, 1027.3805090722362, 9-5_P2f(5.5)
10271.175, 1027.3990140880996, 9-5_P2e(5.5)
10284.622, 1028.7440786762982, 4-1_Q2f(0.5)
10284.917, 1028.7735866746866, 4-1_Q2e(0.5)
10286.590, 1028.940932035086, 4-1_Q1f(1.5)
10286.686, 1028.950534637957, 4-1_Q1e(1.5)
10295.848, 1029.8669830506756, 4-1_Q1f(2.5)
10296.200, 1029.902192594632, 4-1_Q1e(2.5)
10347.227, 1035.0062761543238, 4-1_P2e(1.5)
10347.357, 1035.0192796792753, 4-1_P2f(1.5)
10372.798, 1037.5640695217592, 4-1_P1e(2.5)
10372.956, 1037.5798738060482, 4-1_P1f(2.5)
10396.512, 1039.9361125527778, 4-1_P2e(2.5)
10396.564, 1039.9413139628323, 4-1_P2f(2.5)
10418.216, 1042.1071010945604, 4-1_P1e(3.5)
10418.511, 1042.1366090940917, 4-1_P1f(3.5)
10450.471, 1045.3334757698158, 4-1_P2f(3.5)
10450.531, 1045.339477396894, 4-1_P2e(3.5)
10468.735, 1047.1603710570146, 4-1_P1e(4.5)
10469.188, 1047.2056833416877, 4-1_P1f(4.5)
