lambda_air[angstrom], lambda_vac[nm], transition
6221.710, 622.3431344277396, 5-0_P1e(3.5)
6221.832, 622.3553377019472, 5-0_P1f(3.5)
6234.289, 623.6013720314019, 9-3_R1f(2.5)
6234.297, 623.6021722461186, 9-3_R1e(2.5)
6235.662, 623.7387088822895, 9-3_R1e(3.5)
6235.672, 623.7397091506873, 9-3_R1f(3.5)
6235.942, 623.7667163974347, 9-3_R1f(1.5)
6235.956, 623.7681167731924, 9-3_R1e(1.5)
6236.006, 623.7731181151839, 5-0_P2f(3.5)
6236.023, 623.7748185714611, 5-0_P2e(3.5)
6236.964, 623.8689438278116, 9-3_R2e(2.5)
6237.017, 623.8742452503302, 9-3_R2f(2.5)
6237.394, 623.9119553690132, 9-3_R2e(1.5)
6237.427, 623.9152562547343, 9-3_R2f(1.5)
6240.176, 624.19023003855, 9-3_R1e(4.5)
6240.219, 624.1945311926889, 9-3_R1f(4.5)
6241.686, 624.3412705677745, 9-3_R2e(0.5)
6241.689, 624.3415706482965, 9-3_R2f(0.5)
6243.546, 624.5273204916424, 5-0_P1e(4.5)
6243.738, 624.5465256451023, 5-0_P1f(4.5)
6247.957, 624.9685388883562, 9-3_R1e(5.5)
6248.047, 624.977541304097, 9-3_R1f(5.5)
6256.900, 625.8630789381549, 9-3_Q2f(0.5)
6256.982, 625.8712811392684, 9-3_Q2e(0.5)
6257.949, 625.9680070963742, 9-3_Q1f(1.5)
6257.974, 625.9705077674494, 9-3_Q1e(1.5)
6261.721, 626.345308349156, 5-0_P2f(4.5)
6261.792, 626.3524102550471, 5-0_P2e(4.5)
6262.664, 626.4396336626689, 9-3_Q2f(1.5)
6262.804, 626.4536374207834, 9-3_Q2e(1.5)
6265.168, 626.6901008796542, 9-3_Q1f(2.5)
6265.261, 626.699403376149, 9-3_Q1e(2.5)
6268.270, 627.0003841504974, 5-0_P1e(5.5)
6268.540, 627.0273913985078, 5-0_P1f(5.5)
6272.217, 627.3951901067053, 9-3_Q2f(2.5)
6272.373, 627.410794294531, 9-3_Q2e(2.5)
6275.485, 627.7220778370059, 9-3_Q1f(3.5)
6275.698, 627.7433835550984, 9-3_Q1e(3.5)
6278.060, 627.9796469646099, 9-3_P2e(1.5)
6278.121, 627.9857486022071, 9-3_P2f(1.5)
6287.407, 628.9145978989794, 9-3_P1e(2.5)
6287.462, 628.9200993755743, 9-3_P1f(2.5)
6297.879, 629.9620790502944, 9-3_P2e(2.5)
6297.927, 629.9668803390297, 9-3_P2f(2.5)
6306.869, 630.861320425268, 9-3_P1e(3.5)
6306.981, 630.8725234324577, 9-3_P1f(3.5)
6321.390, 632.3138103273604, 9-3_P2e(3.5)
6321.406, 632.3154107569912, 9-3_P2f(3.5)
6329.747, 633.1497347336785, 9-3_P1e(4.5)
6329.933, 633.1683397283525, 9-3_P1f(4.5)
6348.516, 635.0271387632188, 9-3_P2f(4.5)
6348.547, 635.030239595744, 9-3_P2e(4.5)
6356.167, 635.7924442397731, 9-3_P1e(5.5)
6356.441, 635.8198515985113, 9-3_P1f(5.5)
6379.268, 638.1031646923161, 9-3_P2f(5.5)
6379.361, 638.1124671902792, 9-3_P2e(5.5)
6386.236, 638.8001518547499, 9-3_P1e(6.5)
6386.611, 638.8376619275394, 9-3_P1f(6.5)
6413.720, 641.549290145863, 9-3_P2f(6.5)
